Rk,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Dorsal,Edad,Goal
1,09/05/2024,Pro League,Matchweek 31,Away,Al-Nassr,Al Okhdood SC,Y*,Right Foot,15,3-2,Paulo Vítor Fagundes dos Anjos,Ali Al Hassan,7,39,1
2,04/05/2024,Pro League,Matchweek 30,Home,Al-Nassr,Al-Wehda,Y*,Head,12,6-0,Munir,Marcelo Brozović,7,39,1
3,04/05/2024,Pro League,Matchweek 30,Home,Al-Nassr,Al-Wehda,Y*,Left Foot,52,6-0,Munir,Sadio Mané,7,39,1
4,04/05/2024,Pro League,Matchweek 30,Home,Al-Nassr,Al-Wehda,Y*,Head,5,6-0,Munir,No assist,7,39,1
5,01/05/2024,Kings CUP,Semi-finals,Home,Al-Nassr,Al-Khaleej,Y*,Left Foot,57,3-1,Sehic,Ayman Yahya,7,39,1
5,01/05/2024,Kings CUP,Semi-finals,Home,Al-Nassr,Al-Khaleej,Y*,Left Foot,17,3-1,Sehic,Ayman Yahya,7,39,1
6,02/04/2024,Pro League,Matchweek 26,Away,Al-Nassr,Abha,Y*,Right Foot,11,8-0,Ciprian Tatarusanu,Free kick,7,39,1
7,02/04/2024,Pro League,Matchweek 26,Away,Al-Nassr,Abha,Y*,Right Foot,42,8-0,Ciprian Tatarusanu,No assist,7,39,1
8,02/04/2024,Pro League,Matchweek 26,Away,Al-Nassr,Abha,Y*,Right Foot,21,8-0,Ciprian Tatarusanu,Free kick,7,39,1
9,30/03/2024,Pro League,Matchweek 25,Home,Al-Nassr,Al-Ta'ee,Y*,Head,87,5-1,Muataz Al Bagawi,Abdulmajeed Al-Sulayhem,7,39,1
10,30/03/2024,Pro League,Matchweek 25,Home,Al-Nassr,Al-Ta'ee,Y*,Right Foot,67,5-1,Muataz Al Bagawi,No assist,7,39,1
11,30/03/2024,Pro League,Matchweek 25,Home,Al-Nassr,Al-Ta'ee,Y*,Right Foot,64,5-1,Muataz Al Bagawi,Sadio Mané,7,39,1
12,15/03/2024,Pro League,Matchweek 24,Away,Al-Nassr,Al-Ahli,Y*,Right Foot,68,1-0,Edouard Mendy,Penalti,7,39,1
13,11/03/2024,AFC Champions Leegue,Quarter-finals,Home,Al-Nassr,Al-Ain FC,Y*,Right Foot,118,5-6,Elsa,Penalti,7,39,1
14,25/02/2024,Pro League,Matchweek 21,Away,Al-Nassr,Al-Shabab,Y*,Right Foot,21,3-2,Mohammed Al Absi,Penalti,7,39,1
15,21/02/2024,AFC Champions Leegue,Round of 16,Home,Al-Nassr,Al-Fayha FC,Y*,Right Foot,86,2-0,Stojkovic,No assist,7,39,1
16,17/02/2024,Pro League,Matchweek 20,Home,Al-Nassr,Al-Fateh,Y*,Right Foot,17,2-1,Jacob Rinne,Sultan Al-Ghanam,7,39,1
17,14/02/2024,AFC Champions Leegue,Round of 16,Away,Al-Nassr,Al-Fayha FC,Y*,Right Foot,81,1-0,Stojkovic,Marcelo Brozović,7,39,1
18,30/12/2023,Pro League,Matchweek 19,Away,Al-Nassr,Al-Taawoun,Y*,Head,90+2,4-1,Mailson,Seko Fofana,7,38,1
19,26/12/2023,Pro League,Matchweek 17,Away,Al-Nassr,Al-Ittihad,Y*,Right Foot,68,5-2,Abdullah Al-Mayouf,Penalti,7,38,1
20,26/12/2023,Pro League,Matchweek 17,Away,Al-Nassr,Al-Ittihad,Y*,Right Foot,19,5-2,Abdullah Al-Mayouf,Penalti,7,38,1
21,22/12/2023,Pro League,Matchweek 18,Home,Al-Nassr,Al-Ettifaq,Y*,Right Foot,73,3-1,Paulo Victor Vidotti,Penalti,7,38,1
22,11/12/2023,Kings CUP,Quarter-finals,Away,Al-Nassr,Al-Shabab,Y*,Right Foot,74,5-3,Kim Seung-gyu,Otavio ,7,38,1
23,08/12/2023,Pro League,Matchweek 16,Home,Al-Nassr,Al-Riyadh SC,Y*,Right Foot,31,4-1,Martín Campaña,Sadio Mané,7,38,1
24,24/11/2023,Pro League,Matchweek 14,Home,Al-Nassr,Al Okhdood SC,Y*,Right Foot,80,3-0,Paulo Fagundes dos Anjos,No assist,7,38,1
25,24/11/2023,Pro League,Matchweek 14,Home,Al-Nassr,Al Okhdood SC,Y*,Right Foot,77,3-0,Paulo Fagundes dos Anjos,No assist,7,38,1
26,16/11/2023,UEFA Euro Qualifying,Group stage,Away,Portugal,Liechtenstein,Y*,Left Foot,46,sin dato,Benjamin Buchel,Diogo Jota,7,38,1
27,11/11/2023,Pro League,Matchweek 13,Away,Al-Nassr,Al-Wehda,Y*,Right Foot,49,3-1,Munir,No assist,7,38,1
28,04/11/2023,Pro League,Matchweek 12,Home,Al-Nassr,Al-Khaleej,Y*,Right Foot,26,2-0,Marwan Al Haidari,Abdulrahman Ghareeb,7,38,1
29,24/10/2023,AFC Champions Leegue,Group stage,Home,Al-Nassr,Al-Duhail,Y*,Left Foot,81,4-3,Zakaria,Sultan Al-Ghanam,7,38,1
30,24/10/2023,AFC Champions Leegue,Group stage,Home,Al-Nassr,Al-Duhail,Y*,Left Foot,61,4-3,Zakaria,Sultan Al-Ghanam,7,38,1
31,21/10/2023,Pro League,Matchweek 10,Home,Al-Nassr,Damac,Y*,Right Foot,56,2-1,Moustapha Zeghba,Free kick,7,38,1
32,16/10/2023,UEFA Euro Qualifying,Group stage,Away,Portugal,Bosnia & Herz'na,Y*,Right Foot,20,sin dato,Ibrahim  Sehic,Joao Félix,7,38,1
33,16/10/2023,UEFA Euro Qualifying,Group stage,Away,Portugal,Bosnia & Herz'na,Y*,Right Foot,5,sin dato,Ibrahim  Sehic,Penalti,7,38,1
34,13/10/2023,UEFA Euro Qualifying,Group stage,Home,Portugal,Slovakia,Y*,Right Foot,72,sin dato,Martin Dúbravka,Bruno Fernandes,7,38,1
35,13/10/2023,UEFA Euro Qualifying,Group stage,Home,Portugal,Slovakia,Y*,Right Foot,29,sin dato,Martin Dúbravka,Penalti,7,38,1
36,02/10/2023,AFC Champions Leegue,Group stage,Home,Al-Nassr,Istiqlol Dushanbe,Y*,Left Foot,66,3-1,Yatimov,No assist,7,38,1
37,29/09/2023,Pro League,Matchweek 8,Away,Al-Nassr,Al-Tai,Y*,Right Foot,87,2-1,Victor Braga,Penalti,7,38,1
38,22/09/2023,Pro League,Matchweek 7,Home,Al-Nassr,Al-Ahli,Y*,Left Foot,52,4-3,Edouard Mendy,Talisca,7,38,1
39,22/09/2023,Pro League,Matchweek 7,Home,Al-Nassr,Al-Ahli,Y*,Left Foot,4,4-3,Edouard Mendy,Sadio Mané,7,38,1
40,16/09/2023,Pro League,Matchweek 6,Away,Al-Nassr,Al-Raed,Y*,Left Foot,78,3-1,André Moreira,Talisca,7,38,1
41,02/09/2023,Pro League,Matchweek 5,Away,Al-Nassr,Al-Hazem,Y*,Right Foot,68,5-1,Aymen Dahmen,Abdulrahman Ghareeb,7,38,1
42,29/08/2023,Pro League,Matchweek 4,Home,Al-Nassr,Al-Shabab,Y*,Right Foot,38,4-0,Kim Seung-gyu,Penalti,7,38,1
43,29/08/2023,Pro League,Matchweek 4,Home,Al-Nassr,Al-Shabab,Y*,Right Foot,13,4-0,Kim Seung-gyu,Penalti,7,38,1
44,25/08/2023,Pro League,Matchweek 3,Away,Al-Nassr,Al-Fateh,Y*,Left Foot,90+5,5-0,Jacob Rinne,Nawaf Boushal,7,38,1
45,25/08/2023,Pro League,Matchweek 3,Away,Al-Nassr,Al-Fateh,Y*,Left Foot,55,5-0,Jacob Rinne,Abdulrahman Ghareeb,7,38,1
46,25/08/2023,Pro League,Matchweek 3,Away,Al-Nassr,Al-Fateh,Y*,Head,38,5-0,Jacob Rinne,Sultan Al-Ghanam,7,38,1
47,12/08/2023,Arab Club Champions Cup,Final,Neutral,Al-Nassr,Al-Hilal ,Y*,Head,98,2-1,Mohamed Al-Owais,No assist,7,38,1
48,12/08/2023,Arab Club Champions Cup,Final,Neutral,Al-Nassr,Al-Hilal ,Y*,Right Foot,74,2-1,Mohamed Al-Owais,Sultan Al-Ghanam,7,38,1
49,09/08/2023,Arab Club Champions Cup,Semi-finals,Neutral,Al-Nassr,Al Shorta,Y*,Right Foot,75,1-0,Ahmed Basil,Penalti,7,38,1
50,06/08/2023,Arab Club Champions Cup,Quarter-finals,Neutral,Al-Nassr,Raja Casablanca,Y*,Left Foot,19,3-1,A. Zniti,Talisca,7,38,1
51,03/08/2023,Arab Club Champions Cup,Group stage,Neutral,Al-Nassr,Zamalek,Y*,Head,87,1-1,M. Shobhy,Ghislain Konan,7,38,1
52,31/07/2023,Arab Club Champions Cup,Group stage,Neutral,Al-Nassr,US Monastir,Y*,Head,74,4-1,Sadok Yeddes,Sultan Al-Ghanam,7,38,1
53,20/06/2023,UEFA Euro Qualifying,Group stage,Away,Portugal,Iceland,Y*,Right Foot,89,sin dato,Rúnar Alex Rúnarsson,Goncalo Inácio,7,38,1
54,23/05/2023,Pro League,Matchweek 28,Home,Al-Nassr,Al-Shabab,Y*,Right Foot,59,3-2,Kim Seung-gyu,Luiz Gustavo,7,38,1
55,16/05/2023,Pro League,Matchweek 27,Away,Al-Nassr,Al-Tai,Y*,Right Foot,52,2-0,Victor Braga,Penalti,7,38,1
56,28/04/2023,Pro League,Matchweek 24,Home,Al-Nassr,Al-Raed,Y*,Head,4,4-0,Silviu Lung Jr.,Sultan Al-Ghanam,7,38,1
57,04/04/2023,Pro League,Matchweek 22,Away,Al-Nassr,Al-Adalah,Y*,Left Foot,66,5-0,Milan Mijatovic,Talisca,7,38,1
58,04/04/2023,Pro League,Matchweek 22,Away,Al-Nassr,Al-Adalah,Y*,Right Foot,40,5-0,Milan Mijatovic,Penalti,7,38,1
59,26/03/2023,UEFA Euro Qualifying,Group stage,Away,Portugal,Luxembourg,Y*,Left Foot,31,sin dato,Anthony Moris,Bruno Fernandes,7,38,1
60,26/03/2023,UEFA Euro Qualifying,Group stage,Away,Portugal,Luxembourg,Y*,Left Foot,9,sin dato,Anthony Moris,Nuno Mendes,7,38,1
61,23/03/2023,UEFA Euro Qualifying,Group stage,Home,Portugal,Liechtenstein,Y*,Right Foot,63,sin dato,Benjamin Buchel,Free kick,7,38,1
62,23/03/2023,UEFA Euro Qualifying,Group stage,Home,Portugal,Liechtenstein,Y*,Right Foot,51,sin dato,Benjamin Buchel,Penalti,7,38,1
63,18/03/2023,Pro League,Matchweek 21,Home,Al-Nassr,Abha,Y*,Right Foot,78,2-1,Devis Epassy,Free kick,7,38,1
64,25/02/2023,Pro League,Matchweek 18,Away,Al-Nassr,Damac,Y*,Right Foot,18,3-0,Moustapha Zeghba,Penalti,7,38,1
65,25/02/2023,Pro League,Matchweek 18,Away,Al-Nassr,Damac,Y*,Right Foot,44,3-0,Moustapha Zeghba,Aiman Yahya,7,38,1
66,25/02/2023,Pro League,Matchweek 18,Away,Al-Nassr,Damac,Y*,Left Foot,23,3-0,Moustapha Zeghba,Sultan Al-Ghanam,7,38,1
67,09/02/2023,Pro League,Matchweek 16,Away,Al-Nassr,Al-Wehda,Y*,Right Foot,61,4-0,Abdulquddus Atiah,No assist,7,38,1
68,09/02/2023,Pro League,Matchweek 16,Away,Al-Nassr,Al-Wehda,Y*,Right Foot,53,4-0,Abdulquddus Atiah,Penalti,7,38,1
69,09/02/2023,Pro League,Matchweek 16,Away,Al-Nassr,Al-Wehda,Y*,Right Foot,40,4-0,Abdulquddus Atiah,Sami Al-Najei,7,38,1
70,09/02/2023,Pro League,Matchweek 16,Away,Al-Nassr,Al-Wehda,Y*,Left Foot,21,4-0,Abdulquddus Atiah,Abdulrahman Ghareeb,7,38,1
71,03/02/2023,Pro League,Matchweek 15,Away,Al-Nassr,Al-Fateh,Y*,Right Foot,90+3,2-2,Jacob Rinne,Penalti,7,38,1
72,24/11/2022,World Cup,Group stage,Neutral,Portugal,Ghana,Y*,Right Foot,65,0-0,Lawrence Ati-Zigi,Penalti,7,37,1
73,27/10/2022,Europa League,Group stage,Home,Manchester Utd,Sheriff Tiraspol,Y,Left Foot,81,3-0,Maksym Koval,No assist,7,37,1
74,09/10/2022,Premier League,Matchweek 10,Away,Manchester Utd,Everton,N,Left Foot,44,2-1,Jordan Pickford,Casemiro,7,37,1
75,15/09/2022,Europa League,Group stage,Away,Manchester Utd,Sheriff Tiraspol,Y,Right Foot,39,3-0,Maksym Koval,Penalti,7,37,1
76,05/06/2022,UEFA Nations League,League A,Home,Portugal,Switzerland,Y*,Right Foot,35,sin dato,Gregor Kobel,Diogo Jota,7,37,1
77,05/06/2022,UEFA Nations League,League A,Home,Portugal,Switzerland,Y*,Right Foot,39,sin dato,Gregor Kobel,Diogo Jota,7,37,1
78,02/05/2022,Premier League,Matchweek 35,Home,Manchester Utd,Brentford,Y,Right Foot,61,3-0,David Raya,Penalti,7,37,1
79,28/04/2022,Premier League,Matchweek 37,Home,Manchester Utd,Chelsea,Y,Right Foot,62,1-1,Edouard Mendy,Nemanja Matic,7,37,1
80,23/04/2022,Premier League,Matchweek 34,Away,Manchester Utd,Arsenal,Y,Left Foot,34,1-3,Aaron Ramsdale,Nemanja Matic,7,37,1
81,16/04/2022,Premier League,Matchweek 33,Home,Manchester Utd,Norwich City,Y,Right Foot,76,3-2,Tim Krul,Penalti,7,37,1
82,16/04/2022,Premier League,Matchweek 33,Home,Manchester Utd,Norwich City,Y,Head,32,3-2,Tim Krul,Alex Telles,7,37,1
83,16/04/2022,Premier League,Matchweek 33,Home,Manchester Utd,Norwich City,Y,Right Foot,7,3-2,Tim Krul,Anthony Elanga,7,37,1
84,12/03/2022,Premier League,Matchweek 29,Home,Manchester Utd,Tottenham,Y,Head,81,3-2,Hugo Lloris,Alex Telles,7,37,1
85,12/03/2022,Premier League,Matchweek 29,Home,Manchester Utd,Tottenham,Y,Right Foot,38,3-2,Hugo Lloris,Jadon Sancho,7,37,1
86,12/03/2022,Premier League,Matchweek 29,Home,Manchester Utd,Tottenham,Y,Right Foot,12,3-2,Hugo Lloris,Fred,7,37,1
87,15/02/2022,Premier League,Matchweek 18,Home,Manchester Utd,Brighton,Y,Right Foot,51,2-0,Robert Sánchez,Scott McTominay,7,37,1
88,30/12/2021,Premier League,Matchweek 20,Home,Manchester Utd,Burnley,Y,Right Foot,35,3-1,Wayne Hennessey,No assist,7,36,1
89,11/12/2021,Premier League,Matchweek 16,Away,Manchester Utd,Norwich City,Y,Right Foot,75,1-0,Tim Krul,Penalti,7,36,1
90,02/12/2021,Premier League,Matchweek 14,Home,Manchester Utd,Arsenal,Y,Right Foot,52,3-2,Aaron Ramsdale,Marcus Rashford,7,36,1
91,02/12/2021,Premier League,Matchweek 14,Home,Manchester Utd,Arsenal,Y,Right Foot,70,3-2,Aaron Ramsdale,Penalti,7,36,1
92,23/11/2021,Champions League,Group stage,Away,Manchester Utd,Villarreal,Y,Right Foot,78,2-0,Gerónimo Rulli,No assist,7,36,1
93,02/11/2021,Champions League,Group stage,Away,Manchester Utd,Atalanta,Y,Right Foot,45+1,2-2,Juan Musso,Bruno Fernandes,7,36,1
94,02/11/2021,Champions League,Group stage,Away,Manchester Utd,Atalanta,Y,Right Foot,90+1,2-2,Juan Musso,Mason Greenwood,7,36,1
95,30/10/2021,Premier League,Matchweek 10,Away,Manchester Utd,Tottenham,Y,Right Foot,39,3-0,Hugo Lloris,Bruno Fernandes,7,36,1
96,20/10/2021,Champions League,Group stage,Home,Manchester Utd,Atalanta,Y,Head,81,3-2,Juan Musso,Luke Shaw,7,36,1
97,12/10/2021,WCQ,First round,Home,Portugal,Luxembourg,Y*,Head,87,4-0,Anthony Moris,Rúben Neves,7,36,1
98,12/10/2021,WCQ,First round,Home,Portugal,Luxembourg,Y*,Right Foot,13,4-0,Anthony Moris,Penalti,7,36,1
99,12/10/2021,WCQ,First round,Home,Portugal,Luxembourg,Y*,Right Foot,8,4-0,Anthony Moris,Penalti,7,36,1
100,09/10/2021,Friendlies (M),Frendly,Home,Portugal,Qatar,Y*,Left Foot,37,0-0,Saad Al Sheeb,No assist,7,36,1
101,29/09/2021,Champions League,Group stage,Home,Manchester Utd,Villarreal,Y,Right Foot,90+5,2-1,Gerónimo Rulli,Jesse Lingard,7,36,1
102,19/09/2021,Premier League,Matchweek 5,Away,Manchester Utd,West Ham,Y,Right Foot,35,2-1,Lukasz Fabianski,No assist,7,36,1
103,14/09/2021,Champions League,Group stage,Away,Manchester Utd,Young Boys,Y,Right Foot,13,1-2,David von Ballmoos,Bruno Fernandes,7,36,1
104,11/09/2021,Premier League,Matchweek 4,Home,Manchester Utd,Newcastle Utd,Y,Right Foot,45+2,4-1,Freddie Woodman,No assist,7,36,1
105,11/09/2021,Premier League,Matchweek 4,Home,Manchester Utd,Newcastle Utd,Y,Left Foot,62,4-1,Freddie Woodman,Luke Shaw,7,36,1
106,01/09/2021,WCQ,First round,Home,Portugal,Ireland,Y*,Head,90+6,1-1,Gavin Bazunu,Joao Mario,7,36,1
107,01/09/2021,WCQ,First round,Home,Portugal,Ireland,Y*,Head,89,1-1,Gavin Bazunu,Goncalo Guedes,7,36,1
108,23/06/2021,UEFA Euro,Group stage,Neutral,Portugal,France,Y*,Right Foot,60,1-2,Hugo Lloris,Penalti,7,36,1
109,23/06/2021,UEFA Euro,Group stage,Neutral,Portugal,France,Y*,Right Foot,31,1-2,Hugo Lloris,Penalti,7,36,1
110,19/06/2021,UEFA Euro,Group stage,Neutral,Portugal,Germany,Y*,Left Foot,15,0-0,Manuel Neuer,Diogo Jota,7,36,1
111,15/06/2021,UEFA Euro,Group stage,Neutral,Portugal,Hungary,Y*,Left Foot,90+2,2-0,Péter Gulácsi,Rafa Silva,7,36,1
112,15/06/2021,UEFA Euro,Group stage,Neutral,Portugal,Hungary,Y*,Right Foot,87,2-0,Péter Gulácsi,Penalti,7,36,1
113,09/06/2021,Friendlies (M),Frendly,Home,Portugal,Israel,Y*,Left Foot,44,1-0,Ofir Marciano,Bruno Fernandes,7,36,1
114,15/05/2021,Serie A,Matchweek 37,Home,Juventus,Inter Milan,Y,Right Foot,24,3-2,Samir Handanovic,No assist,7,36,1
115,12/05/2021,Serie A,Matchweek 36,Away,Juventus,Sassuolo,Y,Left Foot,45,3-1,Andrea Consigli,Adrien Rabiot,7,36,1
116,02/05/2021,Serie A,Matchweek 34,Away,Juventus,Udinese,Y,Head,89,2-1,Simone Scuffet,Adrien Rabiot,7,36,1
117,02/05/2021,Serie A,Matchweek 34,Away,Juventus,Udinese,Y,Right Foot,83,2-1,Simone Scuffet,Penalti,7,36,1
118,07/04/2021,Serie A,Matchweek 3,Home,Juventus,Napoli,Y,Right Foot,13,2-1,Alex Meret,Federico Chiesa,7,36,1
119,03/04/2021,Serie A,Matchweek 29,Away,Juventus,Torino,Y,Head,79,2-2,Salvatore Sirigu,Giorgio Chiellini,7,36,1
120,30/03/2021,WCQ,First round,Away,Portugal,Luxembourg,Y*,Right Foot,51,1-1,Anthony Moris,Joao Cancelo,7,36,1
121,14/03/2021,Serie A,Matchweek 27,Away,Juventus,Cagliari,Y,Left Foot,32,3-1,Alessio Cragno,Federico Chiesa,7,36,1
122,14/03/2021,Serie A,Matchweek 27,Away,Juventus,Cagliari,Y,Right Foot,25,3-1,Alessio Cragno,Penalti,7,36,1
123,14/03/2021,Serie A,Matchweek 27,Away,Juventus,Cagliari,Y,Head,10,3-1,Alessio Cragno,Juan Cuadrado,7,36,1
124,02/03/2021,Serie A,Matchweek 25,Home,Juventus,Spezia,Y,Left Foot,89,3-0,Ivan Provedel,Rodrigo Bentancur,7,36,1
125,27/02/2021,Serie A,Matchweek 24,Away,Juventus,Hellas Verona,Y,Right Foot,49,1-1,Marco Silvestri,Federico Chiesa,7,36,1
126,22/02/2021,Serie A,Matchweek 23,Home,Juventus,Crotone,Y,Head,45+1,3-0,Alex Cordaz,Aaron Ramsey,7,36,1
127,22/02/2021,Serie A,Matchweek 23,Home,Juventus,Crotone,Y,Head,38,3-0,Alex Cordaz,Alex Sandro,7,36,1
128,06/02/2021,Serie A,Matchweek 21,Home,Juventus,Roma,Y,Left Foot,13,2-0,Pau López,Álvaro Morata,7,36,1
129,02/02/2021,Coppa Italia,Semi-finals,Away,Juventus,Inter Milan,Y,Left Foot,35,2-1,Samir Handanovic,No assist,7,36,1
130,02/02/2021,Coppa Italia,Semi-finals,Away,Juventus,Inter Milan,Y,Right Foot,26,2-1,Samir Handanovic,Penalti,7,36,1
131,20/01/2021,Supercoppa Italiana,Final,Neutral,Juventus,Napoli,Y,Left Foot,64,1-0,David Ospina,No assist,7,35,1
132,10/01/2021,Serie A,Matchweek 17,Home,Juventus,Sassuolo,Y,Right Foot,90+2,3-1,Andrea Consigli,Danilo,7,35,1
133,03/01/2021,Serie A,Matchweek 15,Home,Juventus,Udinese,Y,Left Foot,70,4-1,Juan Musso,Rodrigo Bentancur,7,35,1
134,03/01/2021,Serie A,Matchweek 15,Home,Juventus,Udinese,Y,Right Foot,31,4-1,Juan Musso,Aaron Ramsey,7,35,1
135,19/12/2020,Serie A,Matchweek 13,Away,Juventus,Parma,Y,Left Foot,48,4-0,Luigi Sepe,Aaron Ramsey,7,35,1
136,19/12/2020,Serie A,Matchweek 13,Away,Juventus,Parma,Y,Head,26,4-0,Luigi Sepe,Álvaro Morata,7,35,1
137,13/12/2020,Serie A,Matchweek 11,Away,Juventus,Genoa,Y,Right Foot,89,3-1,Mattia Perin,Penalti,7,35,1
138,13/12/2020,Serie A,Matchweek 11,Away,Juventus,Genoa,Y,Right Foot,78,3-1,Mattia Perin,Penalti,7,35,1
139,08/12/2020,Champions League,Group stage,Away,Juventus,Barcelona,Y,Right Foot,52,3-0,Marc-André ter Stegen,Penalti,7,35,1
140,08/12/2020,Champions League,Group stage,Away,Juventus,Barcelona,Y,Right Foot,13,3-0,Marc-André ter Stegen,Penalti,7,35,1
141,02/12/2020,Champions League,Group stage,Home,Juventus,Dynamo Kyiv,Y,Right Foot,57,3-0,Heorhiy Bushchan,Álvaro Morata,7,35,1
142,24/11/2020,Champions League,Group stage,Home,Juventus,Ferencvaros,Y,Left Foot,35,2-1,Denes Dibusz,Juan Cuadrado,7,35,1
143,21/11/2020,Serie A,Matchweek 8,Home,Juventus,Cagliari,Y,Right Foot,42,2-0,Alessio Cragno,Merih Demiral,7,35,1
144,21/11/2020,Serie A,Matchweek 8,Home,Juventus,Cagliari,Y,Right Foot,38,2-0,Alessio Cragno,Álvaro Morata,7,35,1
145,11/11/2020,Friendlies (M),Frendly,Home,Portugal,Andorra,N,Head,85,5-0,Josep Gómes,Mario Rui,7,35,1
146,08/11/2020,Serie A,Matchweek 7,Away,Juventus,Lazio,Y,Right Foot,15,1-1,Pepe Reina,Juan Cuadrado,7,35,1
147,01/11/2020,Serie A,Matchweek 6,Away,Juventus,Spezia,N,Right Foot,76,4-1,Ivan Provedel,Penalti,7,35,1
148,01/11/2020,Serie A,Matchweek 6,Away,Juventus,Spezia,N,Right Foot,59,4-1,Ivan Provedel,Álvaro Morata,7,35,1
149,27/09/2020,Serie A,Matchweek 2,Away,Juventus,Roma,Y,Head,69,2-2,Antonio Mirante,Danilo,7,35,1
150,27/09/2020,Serie A,Matchweek 2,Away,Juventus,Roma,Y,Right Foot,44,2-2,Antonio Mirante,Penalti,7,35,1
151,20/09/2020,Serie A,Matchweek 1,Home,Juventus,Sampdoria,Y,Right Foot,88,3-0,Emil Audero,Aaron Ramsey,7,35,1
152,08/09/2020,UEFA Nations League,League A,Away,Portugal,Sweden,Y*,Right Foot,72,1-0,Robin Olsen,Joao Félix,7,35,1
153,08/09/2020,UEFA Nations League,League A,Away,Portugal,Sweden,Y*,Right Foot,45+1,1-0,Robin Olsen,Free kick,7,35,1
154,07/08/2020,Champions League,Round of 16,Home,Juventus,Lyon,Y,Left Foot,60,2-1,Anthony Lopes,Federico Bernardeschi,7,35,1
155,07/08/2020,Champions League,Round of 16,Home,Juventus,Lyon,Y,Right Foot,43,2-1,Anthony Lopes,Penalti,7,35,1
156,26/07/2020,Serie A,Matchweek 36,Home,Juventus,Sampdoria,Y,Right Foot,45+7,3-0,Emil Audero,Miralem Pjanic,7,35,1
157,20/07/2020,Serie A,Matchweek 34,Home,Juventus,Lazio,Y,Left Foot,54,2-1,Thomas Strakosha,Paulo Dybala,7,35,1
158,20/07/2020,Serie A,Matchweek 34,Home,Juventus,Lazio,Y,Right Foot,51,2-1,Thomas Strakosha,Penalti,7,35,1
159,11/07/2020,Serie A,Matchweek 32,Home,Juventus,Atalanta,Y,Right Foot,90,2-2,Pierluigi Gollini,Penalti,7,35,1
160,11/07/2020,Serie A,Matchweek 32,Home,Juventus,Atalanta,Y,Right Foot,55,2-2,Pierluigi Gollini,Penalti,7,35,1
161,07/07/2020,Serie A,Matchweek 31,Away,Juventus,AC Milan,Y,Left Foot,53,4-2,Gianluigi Donnarumma,Juan Cuadrado,7,35,1
162,04/07/2020,Serie A,Matchweek 30,Home,Juventus,Torino,Y,Right Foot,61,4-1,Salvatore Sirigu,Free kick,7,35,1
163,30/06/2020,Serie A,Matchweek 29,Away,Juventus,Genoa,Y,Right Foot,56,3-1,Mattia Perin,Miralem Pjanic,7,35,1
164,26/06/2020,Serie A,Matchweek 28,Home,Juventus,Lecce,Y,Right Foot,62,4-0,Gabriel,Penalti,7,35,1
165,22/06/2020,Serie A,Matchweek 27,Away,Juventus,Bologna,Y,Right Foot,23,2-0,Lukasz Skorupski,Penalti,7,35,1
166,22/02/2020,Serie A,Matchweek 25,Away,Juventus,SPAL,Y,Right Foot,39,2-1,Etrit Berisha,Juan Cuadrado,7,35,1
167,13/02/2020,Coppa Italia,Semi-finals,Away,Juventus,AC Milan,Y,Right Foot,90+1,1-1,Gianluigi Donnarumma,Penalti,7,35,1
168,08/02/2020,Serie A,Matchweek 23,Away,Juventus,Hellas Verona,Y,Right Foot,65,1-2,Marco Silvestri,Rodrigo Bentancur,7,35,1
169,02/02/2020,Serie A,Matchweek 22,Home,Juventus,Fiorentina,Y,Right Foot,80,3-0,Bartlomiej Dragowski,Penalti,7,35,1
170,02/02/2020,Serie A,Matchweek 22,Home,Juventus,Fiorentina,Y,Right Foot,40,3-0,Bartlomiej Dragowski,Penalti,7,35,1
171,26/01/2020,Serie A,Matchweek 21,Away,Juventus,Napoli,Y,Right Foot,90,1-2,Alex Meret,Rodrigo Bentancur,7,34,1
172,22/01/2020,Coppa Italia,Quarter-finals,Home,Juventus,Roma,Y,Right Foot,26,3-1,Pau López,Gonzalo Higuaín,7,34,1
173,19/01/2020,Serie A,Matchweek 20,Home,Juventus,Parma,Y,Right Foot,58,2-1,Luigi Sepe,Paulo Dybala,7,34,1
174,19/01/2020,Serie A,Matchweek 20,Home,Juventus,Parma,Y,Right Foot,43,2-1,Luigi Sepe,Blaise Matuidi,7,34,1
175,12/01/2020,Serie A,Matchweek 19,Away,Juventus,Roma,Y,Right Foot,10,2-1,Pau López,Penalti,7,34,1
176,06/01/2020,Serie A,Matchweek 18,Home,Juventus,Cagliari,Y,Left Foot,82,4-0,Robin Olsen,Douglas Costa,7,34,1
177,06/01/2020,Serie A,Matchweek 18,Home,Juventus,Cagliari,Y,Right Foot,67,4-0,Robin Olsen,Penalti,7,34,1
178,06/01/2020,Serie A,Matchweek 18,Home,Juventus,Cagliari,Y,Right Foot,49,4-0,Robin Olsen,No assist,7,34,1
179,18/12/2019,Serie A,Matchweek 17,Away,Juventus,Sampdoria,Y,Head,45,2-1,Emil Audero,Alex Sandro,7,34,1
180,15/12/2019,Serie A,Matchweek 16,Home,Juventus,Udinese,Y,Left Foot,37,3-1,Juan Musso,Gonzalo Higuaín,7,34,1
181,15/12/2019,Serie A,Matchweek 16,Home,Juventus,Udinese,Y,Right Foot,9,3-1,Juan Musso,No assist,7,34,1
