Rk,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Dorsal,Edad,Goal
762,18/12/2008,Club World Cup,Semi-finals,Away,Manchester Utd,Gamba Osaka,Y,Head,45,5-3,Yosuke Fujigaya,Ryan Giggs,7,23,1
763,15/11/2008,Premier League,Matchweek 13,Home,Manchester Utd,Stoke City,Y,Right Foot,89,5-0,Thomas Sorensen,Free kick,7,23,1
764,15/11/2008,Premier League,Matchweek 13,Home,Manchester Utd,Stoke City,Y,Right Foot,3,5-0,Thomas Sorensen,Free kick,7,23,1
765,01/11/2008,Premier League,Matchweek 11,Home,Manchester Utd,Hull City,Y,Head,44,4-3,Boaz Myhill,Nani,7,23,1
766,01/11/2008,Premier League,Matchweek 11,Home,Manchester Utd,Hull City,Y,Left Foot,3,4-3,Boaz Myhill,Dimitar Berbatov,7,23,1
767,29/10/2008,Premier League,Matchweek 10,Home,Manchester Utd,West Ham,Y,Left Foot,14,2-0,Robert Green,Nani,7,23,1
768,29/10/2008,Premier League,Matchweek 10,Home,Manchester Utd,West Ham,Y,Left Foot,30,2-0,Robert Green,Dimitar Berbatov,7,23,1
769,18/10/2008,Premier League,Matchweek 8,Home,Manchester Utd,West Brom,Y,Left Foot,69,4-0,Scott Carson,Wayne Rooney,7,23,1
770,27/09/2008,Premier League,Matchweek 6,Home,Manchester Utd,Bolton,Y,Right Foot,60,2-0,Jussi Jaaskelainen,Penalti,7,23,1
771,23/09/2008,EFL Cup,Round 3,Home,Manchester Utd,Middlesbrough,Y,Head,25,3-1,Brad Jones,Ryan Giggs,7,23,1
772,11/06/2008,UEFA Euro,Group stage,Away,Portugal,Czech Republic,Y,Right Foot,63,1-1,Petr Cech,Deco,7,23,1
773,21/05/2008,Champions League,Final,Neutral,Manchester Utd,Chelsea,Y,Head,26,6-5,Cech,Wes Brown,7,23,1
774,11/05/2008,Premier League,Matchweek 38,Away,Manchester Utd,Wigan Athletic,Y,Right Foot,33,2-0,Chris Kirkland,Penalti,7,23,1
775,03/05/2008,Premier League,Matchweek 37,Home,Manchester Utd,West Ham,Y,Right Foot,3,4-1,Robert Green,Nani,7,23,1
776,03/05/2008,Premier League,Matchweek 37,Home,Manchester Utd,West Ham,Y,penis ,24,4-1,Robert Green,Owen Hargreaves,7,23,1
777,13/04/2008,Premier League,Matchweek 34,Home,Manchester Utd,Arsenal,Y,Right Foot,54,2-1,Jens Lehmann,Penalti,7,23,1
778,06/04/2008,Premier League,Matchweek 33,Away,Manchester Utd,Middlesbrough,Y,Left Foot,10,2-2,Mark Schwarzer,Michael Carrick,7,23,1
779,01/04/2008,Champions League,Quarter-finals,Away,Manchester Utd,Roma,Y,Head,39,2-0,Doni,Paul Scholes,7,23,1
780,29/03/2008,Premier League,Matchweek 32,Home,Manchester Utd,Aston Villa,Y,Right Foot,17,4-0,Scott Carson,No assist,7,23,1
781,23/03/2008,Premier League,Matchweek 31,Home,Manchester Utd,Liverpool,Y,Head,79,3-0,Pepe Reina,Nani,7,23,1
782,19/03/2008,Premier League,Matchweek 29,Home,Manchester Utd,Bolton,Y,Right Foot,19,2-0,Ali Al-Habsi,No assist,7,23,1
783,19/03/2008,Premier League,Matchweek 29,Home,Manchester Utd,Bolton,Y,Right Foot,9,2-0,Ali Al-Habsi,No assist,7,23,1
784,15/03/2008,Premier League,Matchweek 30,Away,Manchester Utd,Derby County,Y,Right Foot,76,1-0,Roy Carroll,Wayne Rooney,7,23,1
785,04/03/2008,Champions League,Round of 16,Home,Manchester Utd,Lyon,Y,Left Foot,41,1-0,Coupel,No assist,7,23,1
786,23/02/2008,Premier League,Matchweek 27,Away,Manchester Utd,Newcastle Utd,Y,Right Foot,56,5-1,Steve Harper,Darren Fletcher,7,23,1
787,23/02/2008,Premier League,Matchweek 27,Away,Manchester Utd,Newcastle Utd,Y,Right Foot,45,5-1,Shay Given,Michael Carrick,7,23,1
788,30/01/2008,Premier League,Matchweek 24,Home,Manchester Utd,Portsmouth,Y,Right Foot,13,2-0,David James,Free kick,7,22,1
789,30/01/2008,Premier League,Matchweek 24,Home,Manchester Utd,Portsmouth,Y,Right Foot,10,2-0,David James,Nani,7,22,1
790,28/01/2008,FA Cup,Round 4,Home,Manchester Utd,Tottenham,Y,Right Foot,69,3-1,Cerny,Michael Dawnson,7,22,1
