,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
124,2008-11-01,Premier League,Matchweek 11,Home,Manchester Utd,Hull City,Y,Left Foot,3,4-3,Boaz Myhill,Dimitar Berbatov,1,23,7,RW,Win
125,2008-11-15,Premier League,Matchweek 13,Home,Manchester Utd,Stoke City,Y,Right Foot,89,5-0,Thomas Sorensen,Free kick,1,23,7,LW,Win
126,2008-11-15,Premier League,Matchweek 13,Home,Manchester Utd,Stoke City,Y,Right Foot,3,5-0,Thomas Sorensen,Free kick,1,23,7,LW,Win
127,2008-12-18,Club World Cup,Semi-finals,Away,Manchester Utd,Gamba Osaka,Y,Head,45,5-3,Yosuke Fujigaya,Ryan Giggs,1,23,7,LW,Win
128,2009-01-20,EFL Cup,Semi-finals,Home,Manchester Utd,Derby County,N,Right Foot,89,4-2,Roy Carroll,Penalty,1,23,7,,Win
129,2009-01-27,Premier League,Matchweek 23,Away,Manchester Utd,West Brom,Y,Right Foot,65,5-0,Scott Carson,Ryan Giggs,1,23,7,LW,Win
130,2009-01-27,Premier League,Matchweek 23,Away,Manchester Utd,West Brom,Y,Right Foot,73,5-0,Scott Carson,Dimitar Berbatov,1,23,7,LW,Win
131,2009-01-31,Premier League,Matchweek 24,Home,Manchester Utd,Everton,Y,Right Foot,44,1-0,Tim Howard,Penalty,1,24,7,RW,Win
132,2009-02-11,International Frendly,Frendly,Neutral,Portugal,Finland,Y,Right Foot,78,sin dato,J. Jaakelainen,Penalty,1,24,7,RW,Win
133,2009-02-15,FA Cup,Round 5,Away,Manchester Utd,Derby County,Y,Head,68,4-1,Stephen Bywater,Ryan Giggs,1,24,7,CF,Win
134,2009-02-21,Premier League,Matchweek 26,Home,Manchester Utd,Blackburn,Y,Right Foot,60,2-1,Paul Robinson,Free kick,1,24,7,RW,Win
135,2009-03-11,Champions League,Round of 16,Home,Manchester Utd,Inter,Y,Head,49,2-0,Julio César,Wayne Rooney,1,24,7,RW,Win
136,2009-03-14,Premier League,Matchweek 29,Home,Manchester Utd,Liverpool,Y,Right Foot,23,1-4,Pepe Reina,Penalty,1,24,7,RW,Loss
137,2009-04-05,Premier League,Matchweek 31,Home,Manchester Utd,Aston Villa,Y,Left Foot,80,3-2,Brad Friedel,Michael Carrick,1,24,7,RW,Win
138,2009-04-05,Premier League,Matchweek 31,Home,Manchester Utd,Aston Villa,Y,Right Foot,14,3-2,Brad Friedel,Ryan Giggs,1,24,7,RW,Win
139,2009-04-15,Champions League,Quarter-finals,Away,Manchester Utd,Porto,Y,Right Foot,6,1-0,Helton,Anderson,1,24,7,RW,Win
140,2009-04-25,Premier League,Matchweek 34,Home,Manchester Utd,Tottenham,Y,Right Foot,57,5-2,Heurelho Gomes,Penalty,1,24,7,RW,Win
141,2009-04-25,Premier League,Matchweek 34,Home,Manchester Utd,Tottenham,Y,Head,68,5-2,Heurelho Gomes,Wayne Rooney,1,24,7,RW,Win
142,2009-05-05,Champions League,Semi-finals,Away,Manchester Utd,Arsenal,Y,Right Foot,61,3-1,Almunia,Wayne Rooney,1,24,7,CF,Win
143,2009-05-05,Champions League,Semi-finals,Away,Manchester Utd,Arsenal,Y,Right Foot,11,3-1,Almunia,Free kick,1,24,7,CF,Win
144,2009-05-10,Premier League,Matchweek 36,Home,Manchester Utd,Manchester City,Y,Right Foot,18,2-0,Shay Given,Free kick,1,24,7,RW,Win
145,2009-08-29,La Liga,Matchweek 1,Home,Real Madrid,La Coruña,Y,Right Foot,34,3-2,Daniel Aranzubia,Penalty,1,24,7,LW,Win
146,2009-09-12,La Liga,Matchweek 2,Away,Real Madrid,Espanyol,N,Right Foot,89,3-0,Carlos Kameni,No assist,1,24,7,CF,Win
147,2009-09-15,Champions League,Group stage,Away,Real Madrid,Zúrich,Y,Right Foot,89,5-2,Leoni,Free kick,1,24,9,LW,Win
148,2009-09-15,Champions League,Group stage,Away,Real Madrid,Zúrich,Y,Right Foot,27,5-2,Leoni,Free kick,1,24,9,LW,Win
149,2009-09-20,La Liga,Matchweek 3,Home,Real Madrid,Xerez,Y,Right Foot,1,5-0,Renan Brito Soares,No assist,1,24,9,RW,Win
150,2009-09-20,La Liga,Matchweek 3,Home,Real Madrid,Xerez,Y,Head,75,5-0,Renan Brito Soares,Esteban Granero,1,24,9,RW,Win
151,2009-09-23,La Liga,Matchweek 4,Away,Real Madrid,Villarreal,Y,Right Foot,1,2-0,Diego López,No assist,1,24,9,CF,Win
152,2009-09-30,Champions League,Group stage,Home,Real Madrid,Marseille,Y,Head,64,3-0,Steve Mandanda,Karim Benzema,1,24,9,CF,Win
153,2009-09-30,Champions League,Group stage,Home,Real Madrid,Marseille,Y,Left Foot,58,3-0,Steve Mandanda,Pepe,1,24,9,CF,Win
