,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
399,2014-01-06,La Liga,Matchweek 18,Home,Real Madrid,Celta Vigo,Y,Right Foot,82,3-0,Yoel,Dani Carvajal,1,28,7,LW,Win
400,2014-01-15,Copa del Rey,Round of 16,Away,Real Madrid,Osasuna,Y,Right Foot,22,2-0,Andrés Fernández,Free kick,1,28,7,LW,Win
401,2014-01-18,La Liga,Matchweek 20,Away,Real Madrid,Betis,Y,Right Foot,10,5-0,Stephan Andersen,No assist,1,28,7,LW,Win
402,2014-01-25,La Liga,Matchweek 21,Home,Real Madrid,Granada,Y,Left Foot,57,2-0,Roberto Jiménez,Luka Modric,1,28,7,LW,Win
403,2014-02-11,Copa del Rey,Semi-finals,Away,Real Madrid,Atletico Madrid,Y,Right Foot,15,2-0,Daniel Aranzubia,Penalty,1,29,7,LW,Win
404,2014-02-11,Copa del Rey,Semi-finals,Away,Real Madrid,Atletico Madrid,Y,Right Foot,6,2-0,Daniel Aranzubia,Penalty,1,29,7,LW,Win
405,2014-02-26,Champions League,Round of 16,Away,Real Madrid,Schalke 04,Y,Right Foot,89,6-1,Ralf Fahrmann,Karim Benzema,1,29,7,LW,Win
406,2014-02-26,Champions League,Round of 16,Away,Real Madrid,Schalke 04,Y,Left Foot,52,6-1,Ralf Fahrmann,Gareth Bale,1,29,7,LW,Win
407,2014-03-02,La Liga,Matchweek 26,Away,Real Madrid,Atletico Madrid,Y,Right Foot,81,2-2,Thibaut Courtois,Dani Carvajal,1,29,7,LW,Draw
408,2014-03-05,Friendlies (M),Frendly,Home,Portugal,Cameroon,Y*,Right Foot,83,4-1,Guy N'dy Assembé,Miguel Veloso,1,29,7,CF,Win
409,2014-03-05,Friendlies (M),Frendly,Home,Portugal,Cameroon,Y*,Right Foot,21,4-1,Charles Itandje,Joao Pereira,1,29,7,CF,Win
410,2014-03-09,La Liga,Matchweek 27,Home,Real Madrid,Levante,Y,Head,10,3-0,Keylor Navas,Angel Di María,1,29,7,LW,Win
411,2014-03-15,La Liga,Matchweek 28,Away,Real Madrid,Malaga,Y,Right Foot,22,1-0,Willy Caballero,Gareth Bale,1,29,7,LW,Win
412,2014-03-18,Champions League,Round of 16,Home,Real Madrid,Schalke 04,Y,Right Foot,73,3-1,Ralf Fahrmann,Free kick,1,29,7,LW,Win
413,2014-03-18,Champions League,Round of 16,Home,Real Madrid,Schalke 04,Y,Right Foot,21,3-1,Ralf Fahrmann,Gareth Bale,1,29,7,LW,Win
414,2014-03-23,La Liga,Matchweek 29,Home,Real Madrid,Barcelona,Y,Right Foot,55,3-4,Víctor Valdés,Penalty,1,29,7,LW,Loss
415,2014-03-26,La Liga,Matchweek 30,Away,Real Madrid,Sevilla,Y,Right Foot,14,1-2,Beto,Free kick,1,29,7,LW,Loss
416,2014-03-29,La Liga,Matchweek 31,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,14,5-0,Rubén,Gareth Bale,1,29,7,LW,Win
417,2014-04-02,Champions League,Quarter-finals,Home,Real Madrid,Dortmund,Y,Left Foot,57,3-0,Weidenfeller,Luka Modric,1,29,7,LW,Win
418,2014-04-26,La Liga,Matchweek 35,Home,Real Madrid,Osasuna,Y,Right Foot,52,4-0,Andrés Fernández,Isco,1,29,7,LW,Win
419,2014-04-26,La Liga,Matchweek 35,Home,Real Madrid,Osasuna,Y,Right Foot,6,4-0,Andrés Fernández,Angel Di María,1,29,7,LW,Win
420,2014-04-29,Champions League,Semi-finals,Away,Real Madrid,Bayern Munich,Y,Right Foot,90,4-0,Manuel Neuer,Free kick,1,29,7,CF,Win
421,2014-04-29,Champions League,Semi-finals,Away,Real Madrid,Bayern Munich,Y,Right Foot,34,4-0,Manuel Neuer,Gareth Bale,1,29,7,CF,Win
422,2014-05-04,La Liga,Matchweek 36,Home,Real Madrid,Valencia,Y,Right Foot,89,2-2,Diego Alves,Angel Di María,1,29,7,LW,Draw
423,2014-05-24,Champions League,Final,Neutral,Real Madrid,Atletico Madrid,Y,Right Foot,120,4-1,Thibaut Courtois,Penalty,1,29,7,LW,Win
424,2014-06-26,World Cup,Group stage,Neutral,Portugal,Ghana,Y,Left Foot,80,1-1,Fatau Dauda,No assist,1,29,7,LW,Win
425,2014-08-12,Super Cup,UEFA Super Cup,Neutral,Real Madrid,Sevilla,Y,Left Foot,49,2-0,Beto,Karim Benzema,1,29,7,LW,Win
426,2014-08-12,Super Cup,UEFA Super Cup,Neutral,Real Madrid,Sevilla,Y,Right Foot,30,2-0,Beto,Gareth Bale,1,29,7,LW,Win
427,2014-08-25,La Liga,Matchweek 1,Home,Real Madrid,Codoba,Y,Right Foot,90,2-0,Juan Carlos,Isco,1,29,7,LW,Win
428,2014-09-13,La Liga,Matchweek 3,Home,Real Madrid,Atletico Madrid,Y,Right Foot,26,2-1,Miguel Ángel Moyá,Penalty,1,29,7,LW,Loss
429,2014-09-16,Champions League,Group stage,Home,Real Madrid,Basel,Y,Right Foot,31,5-1,Tomas Vaclik,Gareth Bale,1,29,7,LW,Win
430,2014-09-20,La Liga,Matchweek 4,Away,Real Madrid,La Coruña,Y,Left Foot,78,8-2,Germán Lux,James Rodríguez,1,29,7,RW,Win
431,2014-09-20,La Liga,Matchweek 4,Away,Real Madrid,La Coruña,Y,Left Foot,41,8-2,Germán Lux,Karim Benzema,1,29,7,RW,Win
432,2014-09-20,La Liga,Matchweek 4,Away,Real Madrid,La Coruña,Y,Head,29,8-2,Germán Lux,Álvaro Arbeola,1,29,7,RW,Win
433,2014-09-23,La Liga,Matchweek 5,Home,Real Madrid,Elche,Y,Right Foot,90+2,5-1,Manu Herrera,Gareth Bale,1,29,7,CF,Win
434,2014-09-23,La Liga,Matchweek 5,Home,Real Madrid,Elche,Y,Right Foot,80,5-1,Manu Herrera,Penalty,1,29,7,CF,Win
435,2014-09-23,La Liga,Matchweek 5,Home,Real Madrid,Elche,Y,Head,32,5-1,Manu Herrera,Marcelo,1,29,7,CF,Win
436,2014-09-23,La Liga,Matchweek 5,Home,Real Madrid,Elche,Y,Right Foot,28,5-1,Manu Herrera,Penalty,1,29,7,CF,Win
437,2014-09-27,La Liga,Matchweek 6,Away,Real Madrid,Villarreal,Y,Right Foot,40,2-0,Sergio Asenjo,Karim Benzema,1,29,7,CF,Win
438,2014-10-01,Champions League,Group stage,Away,Real Madrid,Ludogorets,Y,Right Foot,25,2-1,Vladislav Stoyanov,Penalty,1,29,7,CF,Win
439,2014-10-05,La Liga,Matchweek 7,Home,Real Madrid,Athletic Club,Y,elbow,89,5-0,Gorka Iraizoz,Pepe,1,29,7,LW,Win
440,2014-10-05,La Liga,Matchweek 7,Home,Real Madrid,Athletic Club,Y,Right Foot,55,5-0,Gorka Iraizoz,Gareth Bale,1,29,7,LW,Win
441,2014-10-05,La Liga,Matchweek 7,Home,Real Madrid,Athletic Club,Y,Head,2,5-0,Gorka Iraizoz,Gareth Bale,1,29,7,LW,Win
442,2014-10-14,UEFA Euro Qualifying,Group stage,Away,Portugal,Denmark,Y*,Head,90+5,0-0,Kasper Schmeichel,Ricardo Quaresma,1,29,7,CF,Win
443,2014-10-18,La Liga,Matchweek 8,Away,Real Madrid,Levante,Y,Right Foot,61,5-0,Diego Mariño,Isco,1,29,7,CF,Win
444,2014-10-18,La Liga,Matchweek 8,Away,Real Madrid,Levante,Y,Right Foot,13,5-0,Diego Mariño,Penalty,1,29,7,CF,Win
445,2014-10-22,Champions League,Group stage,Away,Real Madrid,Liverpool,Y,Right Foot,23,3-0,Simon Mignolet,James Rodríguez,1,29,7,CF,Win
446,2014-10-25,La Liga,Matchweek 9,Home,Real Madrid,Barcelona,Y,Right Foot,34,3-1,Claudio Bravo,Penalty,1,29,7,CF,Win
447,2014-11-01,La Liga,Matchweek 10,Away,Real Madrid,Granada,Y,Right Foot,2,4-0,Roberto Jiménez,Karim Benzema,1,29,7,CF,Win
448,2014-11-08,La Liga,Matchweek 11,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,83,5-1,Cristian Álvarez,Isco,1,29,7,CF,Win
449,2014-11-14,UEFA Euro Qualifying,Group stage,Home,Portugal,Armenia,Y*,Right Foot,72,0-0,Roman Berezovsky,Nani,1,29,7,CF,Win
450,2014-11-22,La Liga,Matchweek 12,Away,Real Madrid,Eibar,Y,Right Foot,82,4-0,Xabi Irureta,Penalty,1,29,7,CF,Win
451,2014-11-22,La Liga,Matchweek 12,Away,Real Madrid,Eibar,Y,Right Foot,44,4-0,Xabi Irureta,Dani Carvajal,1,29,7,CF,Win
452,2014-11-26,Champions League,Group stage,Away,Real Madrid,Basel,Y,Left Foot,35,1-0,Tomas Vaclik,Karim Benzema,1,29,7,LW,Win
453,2014-12-06,La Liga,Matchweek 14,Home,Real Madrid,Celta Vigo,Y,Left Foot,82,3-0,Sergio Álvarez,Marcelo,1,29,7,CF,Win
454,2014-12-06,La Liga,Matchweek 14,Home,Real Madrid,Celta Vigo,Y,Right Foot,66,3-0,Sergio Álvarez,No assist,1,29,7,CF,Win
455,2014-12-06,La Liga,Matchweek 14,Home,Real Madrid,Celta Vigo,Y,Right Foot,35,3-0,Sergio Álvarez,Penalty,1,29,7,CF,Win
456,2014-12-09,Champions League,Group stage,Home,Real Madrid,Ludogorets,Y,Right Foot,20,4-0,Vladislav Stoyanov,Penalty,1,29,7,CF,Win
457,2014-12-12,La Liga,Matchweek 15,Away,Real Madrid,Almería,Y,Right Foot,85,4-1,Rubén,Dani Carvajal,1,29,7,CF,Win
458,2014-12-12,La Liga,Matchweek 15,Away,Real Madrid,Almería,Y,Right Foot,81,4-1,Rubén,Karim Benzema,1,29,7,CF,Win
459,2015-01-04,La Liga,Matchweek 17,Away,Real Madrid,Valencia,Y,Right Foot,14,1-2,Diego Alves,Penalty,1,29,7,LW,Loss
460,2015-01-15,Copa del Rey,Round of 16,Home,Real Madrid,Atletico Madrid,Y,Head,54,2-2,Jan Oblak,Gareth Bale,1,29,7,CF,Draw
461,2015-01-18,La Liga,Matchweek 19,Away,Real Madrid,Getafe,Y,Head,79,3-0,Jordi Codina,James Rodríguez,1,29,7,LW,Win
462,2015-01-18,La Liga,Matchweek 19,Away,Real Madrid,Getafe,Y,Left Foot,63,3-0,Jordi Codina,Karim Benzema,1,29,7,LW,Win
463,2015-02-18,Champions League,Round of 16,Away,Real Madrid,Schalke 04,Y,Head,26,2-0,Timon Wellenreuther,Dani Carvajal,1,30,7,LW,Win
464,2015-02-22,La Liga,Matchweek 24,Away,Real Madrid,Elche,Y,Head,69,2-0,Przemyslaw Tyton,Isco,1,30,7,CF,Win
465,2015-03-01,La Liga,Matchweek 25,Home,Real Madrid,Villarreal,Y,Right Foot,51,1-1,Sergio Asenjo,Penalty,1,30,7,CF,Draw
466,2015-03-10,Champions League,Round of 16,Home,Real Madrid,Schalke 04,Y,Head,45,3-4,Timon Wellenreuther,Fabio Coentrao,1,30,7,CF,Loss
467,2015-03-10,Champions League,Round of 16,Home,Real Madrid,Schalke 04,Y,Head,25,3-4,Timon Wellenreuther,Toni Kroos,1,30,7,CF,Loss
468,2015-03-22,La Liga,Matchweek 28,Away,Real Madrid,Barcelona,Y,Right Foot,31,1-2,Claudio Bravo,Karim Benzema,1,30,7,LW,Loss
469,2015-04-05,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Right Foot,30,9-1,Oier Olazábal,James Rodríguez,1,30,7,CF,Win
470,2015-04-05,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Head,54,9-1,Oier Olazábal,Gareth Bale,1,30,7,CF,Win
471,2015-04-05,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Head,89,9-1,Oier Olazábal,Luka Modric,1,30,7,CF,Win
472,2015-04-05,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Right Foot,36,9-1,Oier Olazábal,No assist,1,30,7,CF,Win
473,2015-04-05,La Liga,Matchweek 29,Home,Real Madrid,Granada,Y,Right Foot,38,9-1,Oier Olazábal,Gareth Bale,1,30,7,CF,Win
474,2015-04-08,La Liga,Matchweek 30,Away,Real Madrid,Rayo Vallecano,Y,Head,68,2-0,David Cobeño,Dani Carvajal,1,30,7,LW,Win
475,2015-04-11,La Liga,Matchweek 31,Home,Real Madrid,Eibar,Y,Right Foot,21,3-0,Xabi Irureta,Free kick,1,30,7,LW,Win
476,2015-04-18,La Liga,Matchweek 32,Home,Real Madrid,Malaga,Y,Left Foot,90+2,3-1,Carlos Kameni,Javier Hernández,1,30,7,CF,Win
477,2015-05-02,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Head,68,3-2,Sergio Rico,Gareth Bale,1,30,7,CF,Win
478,2015-05-02,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Right Foot,37,3-2,Sergio Rico,Javier Hernández,1,30,7,CF,Win
479,2015-05-02,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Head,36,3-2,Sergio Rico,Isco,1,30,7,CF,Win
480,2015-05-05,Champions League,Semi-finals,Away,Real Madrid,Juventus,Y,Head,27,1-2,Gianluigi Buffon,James Rodríguez,1,30,7,CF,Loss
481,2015-05-13,Champions League,Semi-finals,Home,Real Madrid,Juventus,Y,Right Foot,23,1-1,Gianluigi Buffon,Penalty,1,30,7,LW,Draw
482,2015-05-17,La Liga,Matchweek 37,Away,Real Madrid,Espanyol,Y,Right Foot,83,4-1,Kiko Casilla,Javier Hernández,1,30,7,LW,Win
483,2015-05-17,La Liga,Matchweek 37,Away,Real Madrid,Espanyol,Y,Right Foot,59,4-1,Kiko Casilla,Karim Benzema,1,30,7,LW,Win
484,2015-05-17,La Liga,Matchweek 37,Away,Real Madrid,Espanyol,Y,Head,90+1,4-1,Kiko Casilla,James Rodríguez,1,30,7,LW,Win
485,2015-05-23,La Liga,Matchweek 38,Home,Real Madrid,Getafe,Y,Right Foot,34,7-3,Jordi Codina,Penalty,1,30,7,LW,Win
486,2015-05-23,La Liga,Matchweek 38,Home,Real Madrid,Getafe,Y,Right Foot,32,7-3,Jordi Codina,Free kick,1,30,7,LW,Win
487,2015-05-23,La Liga,Matchweek 38,Home,Real Madrid,Getafe,Y,Head,13,7-3,Jordi Codina,Marcelo,1,30,7,LW,Win
488,2015-06-13,UEFA Euro Qualifying,Group stage,Away,Portugal,Armenia,Y*,Right Foot,58,2-1,Roman Berezovsky,Rui Patrício,1,30,7,CF,Win
489,2015-06-13,UEFA Euro Qualifying,Group stage,Away,Portugal,Armenia,Y*,Right Foot,55,2-1,Roman Berezovsky,Bruno Alves,1,30,7,CF,Win
490,2015-06-13,UEFA Euro Qualifying,Group stage,Away,Portugal,Armenia,Y*,Right Foot,29,2-1,Roman Berezovsky,Penalty,1,30,7,CF,Win
491,2015-09-12,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Left Foot,20,6-0,Pau López,Gareth Bale,1,30,7,LW,Win
492,2015-09-12,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Right Foot,17,6-0,Pau López,Penalty,1,30,7,LW,Win
493,2015-09-12,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Right Foot,7,6-0,Pau López,Luka Modric,1,30,7,LW,Win
494,2015-09-12,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Right Foot,81,6-0,Pau López,Lucas Vázquez,1,30,7,LW,Win
495,2015-09-12,La Liga,Matchweek 3,Away,Real Madrid,Espanyol,Y,Right Foot,61,6-0,Pau López,Gareth Bale,1,30,7,LW,Win
496,2015-09-15,Champions League,Group stage,Home,Real Madrid,Shakhtar,Y,Head,81,4-0,Andriy Pyatov,No assist,1,30,7,LW,Win
497,2015-09-15,Champions League,Group stage,Home,Real Madrid,Shakhtar,Y,Right Foot,63,4-0,Andriy Pyatov,Penalty,1,30,7,LW,Win
498,2015-09-15,Champions League,Group stage,Home,Real Madrid,Shakhtar,Y,Right Foot,55,4-0,Andriy Pyatov,Penalty,1,30,7,LW,Win
499,2015-09-30,Champions League,Group stage,Away,Real Madrid,Malmö FF,Y*,Left Foot,90,2-0,Johan Wiland,Lucas Vázquez,1,30,7,LW,Win
500,2015-09-30,Champions League,Group stage,Away,Real Madrid,Malmö FF,Y*,Right Foot,29,2-0,Johan Wiland,Isco,1,30,7,LW,Win
501,2015-10-17,La Liga,Matchweek 8,Home,Real Madrid,Levante,Y,Right Foot,30,3-0,Rubén,Toni Kroos,1,30,7,CF,Win
502,2015-10-24,La Liga,Matchweek 9,Away,Real Madrid,Celta Vigo,Y,Right Foot,8,3-1,Sergio Álvarez,Lucas Vázquez,1,30,7,CF,Win
503,2015-10-31,La Liga,Matchweek 10,Home,Real Madrid,Las Palmas,Y,Head,14,3-1,Javi Varas,Marcelo,1,30,7,CF,Win
504,2015-11-25,Champions League,Group stage,Away,Real Madrid,Shakhtar,Y,Right Foot,70,4-3,Andriy Pyatov,Gareth Bale,1,30,7,CF,Win
505,2015-11-25,Champions League,Group stage,Away,Real Madrid,Shakhtar,Y,Head,18,4-3,Andriy Pyatov,Gareth Bale,1,30,7,CF,Win
506,2015-11-29,La Liga,Matchweek 13,Away,Real Madrid,Eibar,Y,Right Foot,82,2-0,Asier Riesgo,Penalty,1,30,7,CF,Win
507,2015-12-05,La Liga,Matchweek 14,Home,Real Madrid,Getafe,Y,Right Foot,38,4-1,Vicente Guaita,Toni Kroos,1,30,7,LW,Win
508,2015-12-08,Champions League,Group stage,Home,Real Madrid,Malmö FF,Y,Right Foot,50,8-0,Johan Wiland,Danilo,1,30,7,LW,Win
509,2015-12-08,Champions League,Group stage,Home,Real Madrid,Malmö FF,Y,Right Foot,58,8-0,Johan Wiland,Isco,1,30,7,LW,Win
510,2015-12-08,Champions League,Group stage,Home,Real Madrid,Malmö FF,Y,Right Foot,39,8-0,Johan Wiland,Free kick,1,30,7,LW,Win
511,2015-12-08,Champions League,Group stage,Home,Real Madrid,Malmö FF,Y,Left Foot,47,8-0,Johan Wiland,No assist,1,30,7,LW,Win
512,2015-12-20,La Liga,Matchweek 16,Home,Real Madrid,Rayo Vallecano,Y,Head,53,10-2,Yoel,James Rodríguez,1,30,7,LW,Win
513,2015-12-20,La Liga,Matchweek 16,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,30,10-2,Yoel,Penalty,1,30,7,LW,Win
514,2015-12-30,La Liga,Matchweek 17,Home,Real Madrid,Real Sociedad,Y,Left Foot,67,3-1,Gerónimo Rulli,Marcelo,1,30,7,LW,Win
515,2015-12-30,La Liga,Matchweek 17,Home,Real Madrid,Real Sociedad,Y,Right Foot,42,3-1,Gerónimo Rulli,Penalty,1,30,7,LW,Win
516,2016-01-17,La Liga,Matchweek 20,Home,Real Madrid,Sporting Gijón,Y,Left Foot,18,5-1,Iván Cuéllar,Dani Carvajal,1,30,7,LW,Win
517,2016-01-17,La Liga,Matchweek 20,Home,Real Madrid,Sporting Gijón,Y,Left Foot,9,5-1,Iván Cuéllar,Karim Benzema,1,30,7,LW,Win
518,2016-01-31,La Liga,Matchweek 22,Home,Real Madrid,Espanyol,Y,Head,82,6-0,Giedrius Arlauskis,Jesé,1,31,7,LW,Win
519,2016-01-31,La Liga,Matchweek 22,Home,Real Madrid,Espanyol,Y,Left Foot,45,6-0,Giedrius Arlauskis,No assist,1,31,7,LW,Win
520,2016-01-31,La Liga,Matchweek 22,Home,Real Madrid,Espanyol,Y,Right Foot,12,6-0,Giedrius Arlauskis,Penalty,1,31,7,LW,Win
521,2016-02-13,La Liga,Matchweek 24,Home,Real Madrid,Athletic Club,Y,Right Foot,87,4-2,Gorka Iraizoz,Lucas Vázquez,1,31,7,LW,Win
522,2016-02-13,La Liga,Matchweek 24,Home,Real Madrid,Athletic Club,Y,Right Foot,3,4-2,Gorka Iraizoz,Karim Benzema,1,31,7,LW,Win
523,2016-02-17,Champions League,Round of 16,Away,Real Madrid,Roma,Y,Right Foot,57,2-0,Wojciech Szczesny,Marcelo,1,31,7,LW,Win
524,2016-02-21,La Liga,Matchweek 25,Away,Real Madrid,Malaga,Y,Head,33,1-1,Carlos Kameni,Toni Kroos,1,31,7,LW,Draw
525,2016-03-02,La Liga,Matchweek 27,Away,Real Madrid,Levante,Y,Right Foot,34,3-1,Diego Mariño,Penalty,1,31,7,LW,Win
526,2016-03-05,La Liga,Matchweek 28,Home,Real Madrid,Celta Vigo,Y,Head,76,7-1,Rubén Blanco,Jesé,1,31,7,LW,Win
527,2016-03-05,La Liga,Matchweek 28,Home,Real Madrid,Celta Vigo,Y,Right Foot,64,7-1,Rubén Blanco,Isco,1,31,7,LW,Win
528,2016-03-05,La Liga,Matchweek 28,Home,Real Madrid,Celta Vigo,Y,Right Foot,58,7-1,Rubén Blanco,Free kick,1,31,7,LW,Win
529,2016-03-05,La Liga,Matchweek 28,Home,Real Madrid,Celta Vigo,Y,Right Foot,50,7-1,Rubén Blanco,Sergio Ramos,1,31,7,LW,Win
530,2016-03-08,Champions League,Round of 16,Home,Real Madrid,Roma,Y,Right Foot,64,2-0,Wojciech Szczesny,Lucas Vázquez,1,31,7,CF,Win
531,2016-03-20,La Liga,Matchweek 30,Home,Real Madrid,Sevilla,Y,Right Foot,64,4-0,Sergio Rico,Danilo,1,31,7,LW,Win
532,2016-03-29,Friendlies (M),Frendly,Home,Portugal,Belgium,Y*,Head,40,1-0,Thibaut Courtois,Joao Mario,1,31,7,CF,Win
533,2016-04-02,La Liga,Matchweek 31,Away,Real Madrid,Barcelona,Y,Right Foot,85,2-1,Claudio Bravo,Gareth Bale,1,31,7,LW,Win
534,2016-04-09,La Liga,Matchweek 32,Home,Real Madrid,Eibar,Y,Right Foot,19,4-0,Asier Riesgo,Jesé,1,31,7,CF,Win
535,2016-04-12,Champions League,Quarter-finals,Home,Real Madrid,Wolfsburg,Y,Right Foot,77,3-0,Diego Benaglio,Free kick,1,31,7,LW,Win
536,2016-04-12,Champions League,Quarter-finals,Home,Real Madrid,Wolfsburg,Y,Head,17,3-0,Diego Benaglio,Toni Kroos,1,31,7,LW,Win
537,2016-04-12,Champions League,Quarter-finals,Home,Real Madrid,Wolfsburg,Y,Right Foot,15,3-0,Diego Benaglio,Dani Carvajal,1,31,7,LW,Win
538,2016-04-16,La Liga,Matchweek 33,Away,Real Madrid,Getafe,Y,Left Foot,90+2,5-1,Vicente Guaita,Jesé,1,31,7,LW,Win
539,2016-05-08,La Liga,Matchweek 37,Home,Real Madrid,Valencia,Y,Left Foot,59,3-2,Diego Alves,James Rodríguez,1,31,7,LW,Win
540,2016-05-08,La Liga,Matchweek 37,Home,Real Madrid,Valencia,Y,Right Foot,26,3-2,Diego Alves,Marcelo,1,31,7,LW,Win
541,2016-05-14,La Liga,Matchweek 38,Away,Real Madrid,La Coruña,Y,Head,25,2-0,Stipe Pletikosa,Toni Kroos,1,31,7,LW,Win
542,2016-05-14,La Liga,Matchweek 38,Away,Real Madrid,La Coruña,Y,Left Foot,7,2-0,Stipe Pletikosa,Karim Benzema,1,31,7,LW,Win
543,2016-06-08,Friendlies (M),Frendly,Home,Portugal,Estonia,Y*,Right Foot,45,2-0,Pavel Londak,Joao Mario,1,31,7,CF,Win
544,2016-06-08,Friendlies (M),Frendly,Home,Portugal,Estonia,Y*,Head,36,2-0,Pavel Londak,Ricardo Quaresma,1,31,7,CF,Win
545,2016-06-22,UEFA Euro,Group stage,Neutral,Portugal,Hungary,Y*,Head,62,2-3,Gábor Király,Ricardo Quaresma,1,31,7,CF,Draw
546,2016-06-22,UEFA Euro,Group stage,Neutral,Portugal,Hungary,Y*,Right Foot,50,2-3,Gábor Király,Joao Mario,1,31,7,CF,Draw
547,2016-07-06,UEFA Euro,Semi-finals,Neutral,Portugal,Wales,Y*,Head,50,0-0,Wayne Hennessey,Raphael Guerreiro,1,31,7,CF,Win
548,2016-09-10,La Liga,Matchweek 3,Home,Real Madrid,Osasuna,Y,Right Foot,6,5-2,Nauzet Pérez,Gareth Bale,1,31,7,LW,Win
549,2016-09-14,Champions League,Group stage,Home,Real Madrid,Sporting CP,Y,Right Foot,89,2-1,Rui Patrício,Free kick,1,31,7,LW,Win
550,2016-09-27,Champions League,Group stage,Away,Real Madrid,Dortmund,Y,Right Foot,17,2-2,Roman Burki,Gareth Bale,1,31,7,LW,Draw
551,2016-10-07,WCQ,First round,Home,Portugal,Andorra,Y*,Left Foot,68,4-0,Josep Gómes,José Fonte,1,31,7,CF,Win
552,2016-10-07,WCQ,First round,Home,Portugal,Andorra,Y*,Right Foot,47,4-0,Josep Gómes,Andre Gomes,1,31,7,CF,Win
553,2016-10-07,WCQ,First round,Home,Portugal,Andorra,Y*,Head,4,4-0,Josep Gómes,Ricardo Quaresma,1,31,7,CF,Win
554,2016-10-07,WCQ,First round,Home,Portugal,Andorra,Y*,Left Foot,2,4-0,Josep Gómes,No assist,1,31,7,CF,Win
555,2016-10-10,WCQ,First round,Away,Portugal,Faroe Islands,Y*,Left Foot,65,3-0,Gunnar Nielsen,Joao Mario,1,31,7,CF,Win
556,2016-10-15,La Liga,Matchweek 8,Away,Real Madrid,Betis,Y,Right Foot,78,6-1,Antonio Adán,Álvaro Morata,1,31,7,LW,Win
557,2016-10-29,La Liga,Matchweek 10,Away,Real Madrid,Alaves,Y,Right Foot,88,4-1,Fernando Pacheco,Marcelo,1,31,7,LW,Win
558,2016-10-29,La Liga,Matchweek 10,Away,Real Madrid,Alaves,Y,Right Foot,33,4-1,Fernando Pacheco,Karim Benzema,1,31,7,LW,Win
559,2016-10-29,La Liga,Matchweek 10,Away,Real Madrid,Alaves,Y,Right Foot,17,4-1,Fernando Pacheco,Penalty,1,31,7,LW,Win
560,2016-11-13,WCQ,First round,Home,Portugal,Latvia,Y*,Right Foot,85,2-1,Andris Vanins,Ricardo Quaresma,1,31,7,LW,Win
561,2016-11-13,WCQ,First round,Home,Portugal,Latvia,Y*,Right Foot,28,2-1,Andris Vanins,Penalty,1,31,7,LW,Win
562,2016-11-19,La Liga,Matchweek 12,Away,Real Madrid,Atletico Madrid,Y,Right Foot,77,3-0,Jan Oblak,Gareth Bale,1,31,7,CF,Win
563,2016-11-19,La Liga,Matchweek 12,Away,Real Madrid,Atletico Madrid,Y,Right Foot,71,3-0,Jan Oblak,Penalty,1,31,7,CF,Win
564,2016-11-19,La Liga,Matchweek 12,Away,Real Madrid,Atletico Madrid,Y,Right Foot,23,3-0,Jan Oblak,Free kick,1,31,7,CF,Win
565,2016-11-26,La Liga,Matchweek 13,Home,Real Madrid,Sporting Gijón,Y,Head,18,2-1,Diego Mariño,Nacho,1,31,7,LW,Win
566,2016-11-26,La Liga,Matchweek 13,Home,Real Madrid,Sporting Gijón,Y,Right Foot,5,2-1,Diego Mariño,Penalty,1,31,7,LW,Win
567,2016-12-15,Club World Cup,Semi-finals,Neutral,Real Madrid,América,Y,Right Foot,90+3,2-0,Moses Muñoz,James Rodríguez,1,31,7,LW,Win
568,2016-12-18,Club World Cup,Final,Neutral,Real Madrid,Kashima Antlers,Y,Left Foot,104,4-2,Sogahata,Toni Kroos,1,31,7,LW,Win
569,2016-12-18,Club World Cup,Final,Neutral,Real Madrid,Kashima Antlers,Y,Left Foot,97,4-2,Sogahata,Karim Benzema,1,31,7,LW,Win
570,2016-12-18,Club World Cup,Final,Neutral,Real Madrid,Kashima Antlers,Y,Right Foot,60,4-2,Sogahata,Penalty,1,31,7,LW,Win
571,2017-01-07,La Liga,Matchweek 17,Home,Real Madrid,Granada,Y,Head,27,5-0,Guillermo Ochoa,Marcelo,1,31,7,LW,Win
572,2017-01-15,La Liga,Matchweek 18,Away,Real Madrid,Sevilla,Y,Right Foot,67,1-2,Sergio Rico,Penalty,1,31,7,CF,Loss
